DATE,SHARE CODE,ISSUER NAME,BANK,GOVERNMENT,PRIVATE EQUITY,TRUSTEE BANK,VENTURE CAPITAL,PRIVATE BANK,EXCHANGE TRADED FUNDS,INVESTMENT MANAGER,INVESTMENT ADVISORS,BROKERAGE FIRMS,HEDGE FUND,SOVEREIGN WEALTH FUND,CAPITAL MARKET SUPPORTING INSTITUTIONS AND PROFESSIONS,COMMANDITAIRE VENNOOTSCHAP (CV) OR LIMITED PARTNERSHIP,FIRM,INVESTMENT FUND SELLING AGENT,PEER TO PEER LENDING,PERMANENT ESTABLISHMENT,SOLE PROPRIETORSHIP,CORPORATE,ASSOCIATION/SOCIAL ORGANIZATIONS,STATE OWNED ENTERPRISES,CENTRAL BANK,STATE OWNED COMPANY,DIOCESE,CONFERENCE,CONGREGATION,COOPERATIVES,INTERNATIONAL ORGANIZATION,POLITICAL PARTIES,PARTNERSHIP,EDUCATIONAL INSTITUTION,MUTUAL FUNDS (MF),SECURITIES COMPANY (SC),PENSION FUNDS (PF),FINANCIAL INSTITUTIONAL (IB),INSURANCE (IS),FOUNDATION (FD),INDIVIDUAL (ID),TOTAL SCRIPLESS
31-Mar-2026,MSIE,MULTISARANA INTAN EDUKA Tbk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26370300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333637454,360007754
31-Mar-2026,MSIN,MNC DIGITAL ENTERTAINMENT Tbk,429202255,0,0,95297621,0,0,111769814,33924500,1883330422,1091,0,29808886,930,5000,0,0,0,0,866422400,16002581045,0,0,235500,0,0,0,0,856700,45,0,2304832235,0,522475554,5903063784,359453708,100810900,64245200,0,1615478115,30323795705
31-Mar-2026,MSJA,MULTI SPUNINDO JAYA Tbk,14316400,0,0,0,0,0,0,0,21154400,0,0,0,0,0,0,0,0,0,0,803611744,0,0,0,0,0,0,0,0,0,0,0,0,4673200,56384400,0,0,0,0,456212756,1356352900
31-Mar-2026,MSKY,MNC SKY VISION Tbk,2671298,0,0,0,0,23684300,0,33195800,7851272,53,0,0,820516,0,2280000,0,0,0,2631200,1432661600,0,0,0,0,0,0,0,0,0,0,0,0,31044400,29079008,0,0,0,0,428451033,1994370480
31-Mar-2026,MSTI,MASTERSYSTEM INFOTAMA Tbk,5680619,0,0,0,0,0,0,0,7164000,1300081,50000000,45386800,164000,0,0,0,0,0,0,4233000,0,0,0,2331800,0,0,0,0,0,0,0,0,126529900,1516900,12446500,4719100,48343900,832400,160767200,471416200
31-Mar-2026,MTDL,METRODATA ELECTRONICS Tbk,17063689,6985460,0,82297795,0,1194000,15033300,1526500,800110595,13014731,0,783800,3565900,0,0,0,0,0,40300,1181248728,0,0,0,0,0,0,0,3803590,0,0,4756000,0,570651310,60761242,9794730,1887100,36083110,8230,4959974895,7770585005
31-Mar-2026,MTEL,DAYAMITRA TELEKOMUNIKASI Tbk,1659381039,4461466500,0,120774200,111900,500000,188829965,0,71836042,8418,0,3540109704,2648989,511100,2294200,0,0,0,55500,9070222191,0,312500000,2014500,45262794,0,0,0,7100,5362000,0,0,4274200,1672593517,14050605,335603920,4921200,279345000,156222000,1586842816,23537749400
31-Mar-2026,MTFN,CAPITALINC INVESTMENT Tbk,408408850,0,43000500,0,115900000,0,129131900,25590750,9850000,8760,0,0,100100,2143400,12187000,0,0,0,0,11389353122,0,352012600,0,0,0,0,0,0,0,0,9927845177,0,1198760976,259208391,417578181,0,76747127,1071951,7383726192,31752624977
31-Mar-2026,MTLA,METROPOLITAN LAND Tbk,32,0,0,0,0,68329970,0,216900000,152500,875,0,0,10200,0,400,0,0,0,0,1907905693,0,0,0,0,0,0,0,10264455,0,0,0,0,120963476,708863620,0,0,374758601,28330,1376275678,4784453830
31-Mar-2026,MTMH,MURNI SADAR Tbk,1582300,0,82449300,0,0,0,0,0,78469300,0,0,0,100,0,0,0,0,0,0,97375300,0,0,0,0,0,0,0,0,0,0,0,0,0,2382600,0,0,0,0,69517450,331776350
31-Mar-2026,MTPS,META EPSI Tbk,0,0,0,0,0,0,0,0,0,0,0,0,100,175282,0,0,0,0,0,405765548,0,104794200,0,0,0,0,0,27643,0,0,0,0,150551611,6931787,104400,0,283612,26255,343664719,1012325157
31-Mar-2026,MTRA,MITRA PEMUDA Tbk,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0,27066900,0,0,0,0,0,0,0,0,0,0,0,0,0,17874100,0,0,0,0,123029500,169970500
31-Mar-2026,MTSM,"METRO REALTY Tbk, PT",484080,0,0,0,0,0,0,0,140000,0,0,0,100100,0,0,0,0,0,0,64751224,0,0,0,0,0,0,0,0,0,0,0,0,0,616000,0,0,0,0,17331612,83423016
31-Mar-2026,MTWI,MALACCA TRUST WUWUNGAN INSURANCE Tbk,0,0,0,0,0,0,0,4166000,700,0,0,0,100,0,0,0,0,26062900,0,2562575215,0,0,0,0,0,0,0,78300,0,0,0,0,0,59612248,0,0,0,0,271991176,2924486639
31-Mar-2026,MUTU,MUTUAGUNG LESTARI Tbk,0,0,0,0,0,0,0,0,53004000,0,0,0,0,5426000,0,0,0,0,0,382633000,0,0,0,0,0,0,0,0,0,0,0,0,0,3920075,0,0,0,275,827967235,1272950585
31-Mar-2026,MYOH,SAMINDO RESOURCES Tbk,3922,0,0,0,0,37146306,1100,544188,18900,95,896300,0,20050850,0,0,0,0,0,0,269991341,0,0,0,0,0,0,1043,0,0,0,1204136359,0,233390500,11069249,0,0,4771300,0,424269797,2206291250
